"tag","mark","title","url","subscribe"
"document","cache","Just the Docs","https://github.com/just-the-docs/just-the-docs",""
"document","cache","Pelican","https://getpelican.com",""
"document,api","cache","LDoc","https://github.com/lunarmodules/ldoc",""
"document,api","cache","TypeDoc","https://github.com/TypeStrong/typedoc",""
"document,api","cache","pdoc","https://pdoc3.github.io/pdoc",""
"dps","cache","Netlify","https://app.netlify.com",""
"dps","cache","Vector","https://vector.dev",""
"dps","cache","Vercel","https://vercel.com",""
"gallery","cache","thumbsup","https://github.com/thumbsup/thumbsup",""
"hexo","cache","Hexo","https://hexo.io",""
"hexo","cache","Icarus","https://github.com/ppoffice/hexo-theme-icarus",""
"hexo","cache","Stellar","https://github.com/xaoxuu/hexo-theme-stellar",""
"hexo,plugin","cache","Hexo 腾讯云CDN主动刷新插件","https://github.com/Techeek/hexo-deploy-tencentcloud-cdn",""
"hexo,tool","cache","hexo-deployer-git","https://github.com/hexojs/hexo-deployer-git",""
"hugo","cache","recipe-book","https://github.com/rametta/recipe-book",""
"hugo","cache","Hugo Theme: Console","https://github.com/mrmierzejewski/hugo-theme-console",""
"hugo,blog","cache","FeelIt","https://github.com/khusika/FeelIt",""
"hugo,blog","cache","Hugo Apéro","https://github.com/hugo-apero/hugo-apero",""
"hugo,blog","cache","risotto","https://github.com/joeroe/risotto",""
"hugo,component","mark","hugo-shortcode-gallery","https://github.com/mfg92/hugo-shortcode-gallery",""
"hugo,component","cache","hugo-lightslider-example","https://github.com/jochumdev/hugo-lightslider-example",""
"hugo,document","mark","hugo-book","https://github.com/alex-shpak/hugo-book",""
"hugo,document","cache","Shadocs theme for Hugo","https://github.com/jgazeau/shadocs",""
"hugo,document","cache","Lotus Docs","https://themes.gohugo.io/themes/lotusdocs/",""
"hugo,document","cache","testbook","https://github.com/maelle/testbook",""
"hugo,gallery","cache","AutoPhugo","https://github.com/kc0bfv/autophugo",""
"hugo,gallery","cache","Eternity","https://github.com/boratanrikulu/eternity",""
"hugo,gallery","cache","Galleries Deluxe","https://github.com/bep/galleriesdeluxe",""
"hugo,gallery","cache","Gallery Deluxe","https://github.com/bep/gallerydeluxe",""
"hugo,hugo","cache","Hugo","https://gohugo.io",""
"hugo,shortcode","cache","hugo-easy-gallery","https://github.com/liwenyip/hugo-easy-gallery",""
"hugo,shortcode","cache","hugo-pdf","https://github.com/sytranvn/hugo-pdf",""
"hugo,tool","mark","Hugo picture optimization","https://github.com/b-m-f/hugo-picture-optimization",""
"hugo,tool","cache","Epub Theme","https://github.com/weitblick/epub",""
"hugo,tool","cache","Hugo Image Optimizer","https://github.com/EricDriussi/hugo-image-optimizer",""
"hugo,tool","cache","Hugo PWA Module","https://github.com/hugomods/pwa",""
"mdbook","cache","MDBook EPUB Backend","https://github.com/Michael-F-Bryan/mdbook-epub",""
"mdbook","cache","Aquamarine","https://github.com/mersinvald/aquamarine",""
"mdbook","cache","mdBook","https://github.com/rust-lang/mdBook",""
"mdbook","cache","mdbook-admonish","https://github.com/tommilligan/mdbook-admonish",""
"mdbook,proof","cache","MDBook Link-Check","https://github.com/Michael-F-Bryan/mdbook-linkcheck",""
"page","cache","Gistdoc","https://github.com/jkulton/gistdoc",""
"page","cache","Markdeep","https://casual-effects.com/markdeep",""
"page","cache","Minimal Theme","https://github.com/orderedlist/minimal",""
"page","cache","greek_audiobooks","https://github.com/nikolas-n/greek_audiobooks",""
"pdf","cache","Crowbook","https://github.com/lise-henry/crowbook",""
"pdf","cache","LeTextallion","https://github.com/farvardin/textallion",""
"pdf","cache","bilingual-ebooks","https://github.com/japotrad/bilingual-ebooks",""
"pdf","cache","pdfjs-viewer-element","https://github.com/alekswebnet/pdfjs-viewer-element",""
"preview","extra","Markserv","https://github.com/markserv/markserv",""
"preview","cache","GoSee","https://github.com/jmbaur/gosee",""
"preview","cache","Markdown Live Preview","https://github.com/ms-jpq/markdown-live-preview",""
"proof","cache","lychee","https://github.com/lycheeverse/lychee",""
"proof","cache","lychee-broken-link-checker","https://github.com/marketplace/actions/lychee-broken-link-checker",""
"retype","cache","Retype","https://retype.com",""
"retype","cache","Retype Build Action","https://github.com/retypeapp/action-build",""
"slide","cache","remark","https://github.com/gnab/remark",""
"vivliostyle","mark","Vivliostyle","https://vivliostyle.org",""
"vivliostyle","cache","Vivliostyle.js Releases","https://vivliostyle.github.io","download"
"vivliostyle","cache","hugo-theme-vivliocli","https://github.com/mochimochiki/hugo-theme-vivliocli",""
"vivliostyle","cache","kaigainotabi1","https://github.com/MurakamiShinyu/kaigainotabi1",""
"webfont","cache","Fontsource","https://github.com/fontsource/fontsource",""
"webfont","mark","fonts(fork","https://github.com/scillidan/fonts",""
"webfont","cache","autosubset","https://github.com/MarcelWaldvogel/autosubset",""
"webfont","cache","fontmin","https://github.com/ecomfe/fontmin",""
"webfont","cache","webfont-dl","https://github.com/mmastrac/webfont-dl",""
"wiki","cache","Amusewiki","https://github.com/melmothx/amusewiki",""
"wiki","cache","TiddlyWiki","https://tiddlywiki.com",""
